"세종특별자치시","장치,기계 조작 및 조립 종사자",22,3,19,3,17,5,13,1,20,4,12,3,16,4,9,1,4,2
"세종특별자치시","단순노무 종사자",43,22,36,24,57,22,34,22,50,47,37,32,26,27,33,19,32,23
"세종특별자치시","무직, 가사, 학생",49,123,47,135,64,158,30,116,33,131,47,121,58,146,43,102,48,115
"세종특별자치시","기타 및 미상",10,7,16,23,54,58,68,99,72,90,88,101,103,84,143,150,118,100
"경기도","계",27688,27270,26723,26686,26924,26666,27884,27713,28453,28500,27983,27967,27256,27136,24864,24869,24833,24568
"경기도","관리자",2812,799,2739,849,2724,873,2786,858,2623,784,2411,776,2250,689,2058,669,1855,613
"경기도","전문가 및 관련 종사자",3410,2860,3432,2966,3576,2904,3626,3319,3563,3300,3311,3177,3065,2875,2788,2652,2683,2481
"경기도","사무 종사자",3683,3224,3123,3148,3000,3022,3240,3467,3047,3364,2983,3303,2781,3107,2516,2869,2651,2965
"경기도","서비스 및 판매 종사자",5828,5665,5543,5696,5404,5582,5595,6493,5038,6010,4960,5697,4553,5144,3859,4588,3703,4371
"경기도","농림어업 숙련 종사자",394,107,422,110,368,109,361,119,290,88,299,79,278,95,253,80,230,87
"경기도","기능원 및 관련 기능 종사자",1887,443,1806,405,1790,417,2500,624,2558,636,2365,585,2088,543,1789,479,1638,394
"경기도","장치,기계 조작 및 조립 종사자",1443,289,1546,316,1621,266,938,173,859,152,797,158,657,122,638,108,620,109
"경기도","단순노무 종사자",2532,1573,2393,1682,2596,1694,2561,1744,2350,1590,2312,1604,2122,1452,1862,1409,1760,1286
"경기도","무직, 가사, 학생",4137,10953,3802,9742,3638,9774,2252,6932,2153,6518,2058,6089,1974,5555,1502,4283,1325,3999
"경기도","기타 및 미상",1562,1357,1917,1772,2207,2025,4025,3984,5972,6058,6487,6499,7488,7554,7599,7732,8368,8263
"강원특별자치도","계",3484,3195,3482,3164,3263,3027,3418,3113,3624,3254,3358,3140,3161,2927,3117,2904,2961,2745
"강원특별자치도","관리자",233,73,240,63,252,76,242,50,203,60,163,48,155,46,176,42,169,46
"강원특별자치도","전문가 및 관련 종사자",422,321,380,324,418,330,421,400,405,371,330,333,335,326,358,293,316,302
"강원특별자치도","사무 종사자",273,278,287,271,239,276,241,289,252,316,230,296,209,289,192,308,214,292
"강원특별자치도","서비스 및 판매 종사자",681,816,750,836,695,744,694,867,737,896,593,729,561,624,564,736,480,598
"강원특별자치도","농림어업 숙련 종사자",215,38,211,32,185,51,198,34,222,45,166,39,183,53,154,37,142,39
"강원특별자치도","기능원 및 관련 기능 종사자",302,39,297,45,260,47,355,87,379,56,269,50,247,48,264,46,220,37
"강원특별자치도","장치,기계 조작 및 조립 종사자",150,13,147,14,157,16,113,9,90,7,71,3,55,7,49,8,51,6
"강원특별자치도","단순노무 종사자",367,176,398,171,343,173,374,180,377,212,272,156,242,154,235,168,220,115
